Agente,CodAgente
PETROBRAS,1
GERDAU,2
LIBRA,3
VOTORANTIM CIMENTOS - UNIDADE LARANJEIRAS,4
FERBASA,5
VALE MANGANES,6
ARLANXEO CABO DE SANTO AGOSTINHO,7
BRASKEM,8
KLABIN PUMA,9
RGESUL,10
ENEL-RJ,11
BANDEIRANTE,12
RORAIMA,13
ESS-MG,14
ESS-SP,15
CDSA,16
CEA,17
EQTL_AL,18
CEAM,19
CEB,20
CEEE-D,21
CEEETRANS,22
EBO,23
CELESC,24
ENEL-GO,25
CELPA,26
CELPE,27
ETO,28
CEMAR,29
EMT,30
CEMIG,31
CEMIG GT,32
ENF,33
CEPISA,34
CER,35
ERON,36
CESP,37
EMG,38
ESS-PR,39
CGT ELETROSUL,40
CHESF,41
CHESFTRANS,42
CHESP,43
CNEE,44
COCEL,45
COELBA,46
ENEL-CE,47
COOPERALIANCA,48
COPELDISTRIB,49
COPEL GERAÇÃO,50
COPELTRANS,51
COSERN,52
CPFL LESTE PAULISTA,53
CPFL PAULISTA,54
CTEEPTRANS,55
DEMEI,56
DMEPC,57
EDEVP,58
EFLSM,59
ELEKTRO,60
EACRE,61
ELETROCAR,62
ELETRONORTE,63
ELETRONUCLEAR,64
ENEL_SP,65
ELETROSUL,66
EMAE,67
ESE,68
EMS,69
ESCELSA,70
FORCEL,71
FURNAS,72
FURNASTRANS,73
IGUACU,74
CPFL JAGUARI,75
JARI,76
JOAOCESA,77
LIGHT,78
AMAZONAS DISTRIBUIDORA DE ENERGIA,79
CPFL MOCOCA,80
MUXFELDT,81
NOVAPALMA,82
PANAMBI,83
CPFL PIRATININGA,84
RGE,85
EPB,86
CPFL SANTACRUZ,87
SULGIPE,88
CPFL SUL PAULISTA,89
URUSSANGA,90
CFLCTRANS,91
COTEMINAS,92
TRACTEBEL,93
TERMORIO,94
EKA BAHIA,95
VERACEL,96
DOW BRASIL,97
LIGHT ENERGIA,98
CSP,99
VALE FERTILIZANTES S.A.,100
TERNIUM,101
TAESA,102
CTG,103
KINROSS PARACATU,104
MINERACAO MARACA,105
CARAMURU_ITUMBIARA,106
MINERACAO CARAIBA,107
CODEVASF_PISF,108
HEINEKEN,109
PARANAPANEMA,110
AFLUENTET,111
CEAL,112
CERON,113
CGTEE,114
ELETROACRE,115
CGTEletrosul,116
DCELT,117
PROQUIGEL,118
BR Distrib ALCOA,119
